3.0 Policy Priority Areas,3.0 Mfundo Zopambana Mndondomekozi
"to improve institutional, infrastructural and human capacities to implement climate change related interventions.","yopereka thandizo monga kupititsa patsogolo malamulo oyendetsera mabungwe, kumanga nyumba zogwirira ntchito, komanso kuthekera kwa ogwira ntchito kuti athe kupereka thandizo malinga ndi vuto la kusintha kwa nyengo. "
Policy Statements,Ziganizo za Ndondomeko
The Policy will:,Ndondomeko zidzachita izi:
build capacity in all sectors and at all levels in climate change,Kupereka maphunziro ku magawo onse ndiponso mlingo uliwonse wokhudza chidziwitso cha kusintha kwa nyengo 
to attain socio-economic development utilizing the principles of green economy; and, ndi cholinga chofuna kupeza chitukuko ndi chuma pogwiritsa ntchito njira zosawononga chilengedwe.
"address capacity gaps on investment in skills and capabilities for negotiations, ",Kuthetsa kusiyanitsa pa ndalama zimene zimaperekedwa ku maphunziro okhudza luso ndi kuthekera kwa kakambiranidwe
mechanisms for reducing emissions while supporting prudent environmental management and sustainable economic growth,njira zochepetsera katulutsidwe ka mipweya komanso pa nthawi imodzimodziyo kuchilikiza ntchito ya kayendetsedwe kabwino ka ntchito ya zachilengedwe komanso kukweza chuma
"Research, Technology Development and Transfer, and Systematic Observation","Kafukufuku, Kakwezedwe ndi Kafalitsidwe ka Umisiri, komanso Kapenyedwe kosamala"
Malawi recognizes and appreciates the need for technology development,Dziko la Malawi limazindikira kufunika kopititsa patsogolo komanso kuphunzira kagwiritsidwe ntchito ka sayansi (umisiri)
and transfer as well as research in climate change management.,komanso kufunika kwa kafukufuku ndi kuphunzitsa umisiri pa ntchito za kasinthidwe ka nyengo. 
"To this effect, Malawi has already produced and identified technology transfer needs.","Chifukwa cha chimenechi, dziko la Malawi lapeza kale zoyenera kuti zichitidwe kuti ntchito ya kafukufuku ndi kufalitsa zotsatila za kafukufuku za kusintha kwa nyengo iyende bwino"
"However, financial resources for addressing the identified needs","Komano, ndalama ndi zochepa zogwirira ntchito kuti zoyenera kuchitika zichitike"
such as the development of climate change research agenda and enabling environment for the application of science and technology are inadequate.,monga kulemba ndondomeko ya kafukufuku wokhudza kusintha kwa nyengo komanso kupereka mpata woyenera kuti sayansi ndi umisiri zigwiritsidwe ntchito.
"Key areas include promotion of rain water harvesting technologies, development of dykes and levees in flood prone areas, adoption of climate smart agriculture,","Magawo ofunika kwambiri ndi monga kukolola madzi a mvula, kumanga zipupa komanso kukumba mayenje ku madera kumene mitsinje imasefukira, kuchita ulimi "
"development of drought tolerant crop and livestock technologies, promotion of energy saving technologies, renewable energy technologies, and development of technologies in river course management. ","mosawononga nyengo, ndi kugwiritsa ntchito sayansi (umisiri) posamalira kumene mtsinje umadutsa. "
"Furthermore, realizing that climate change is an emerging issue,","Mongowonjezera, pozindikira kuti kusintha kwa nyengo ndi chinthu chimene chili chatsopanobe"
there are significant development policy and implementation gaps that would be addressed through research.,pali zoyenera kudziwa zambiri zokhudza ndondomeko ya chitukuko ndi kachitidwe ka zimene zili m’ndondomeko ya chitukuko zimene zingadziwike kudzera m’kafukufuku.
"On the other hand, both climate change adaptation and mitigation measures require innovative approaches and","Kumbali ina, njira zochepetsera ndi kuthuza ululu wa kusintha kwa nyengo zikufunika maluso atsopano"
these would be supported by technology development and transfer as well as systematic observation.,ndipo zimenezi zingatheke kudzera mu kukweza ndi kuphunzitsa ena umisiri komanso kapenyedwe kosamala.
Policy Statements,Ziganizo za Ndondomeko  
The Policy will:,Ndondomeko zidzachita izi:
"enhance research, technology and systematic observation for climate change management,","Kupititsa patsogolo kafukufuku, umisiri ndi kapenyedwe kosamala pa ntchito yolimbana ndi kusintha kwa nyengo, "
supported by appropriate capacity development and dedicated financing; and,mothandizidwa ndi maphunziro ndi ukadaulo oyenera komanso thandizo la ndalama lokwanira; komanso
encourage resource mobilization and commitment of government for the prioritized technologies.,Kulimbikitsa njira zopezera ndalama komanso kuti boma liyike chidwi pa maumisiri amene ali ofunikira kwambiri.
3.5 Climate Change Financing,3.5 Ndalama Zoyendetsera Ntchito ya Kasinthidwe ka nyengo
Malawi is among the most vulnerable countries to climate change because its economy is predominantly agro-based and largely rain-dependent.,Malawi ndi limodzi mwa maiko amene ali pa chiopsezo cha kusintha kwa nyengo chifukwa chuma chake chimachokera mu ulimi umene umadalira madzi a mvula.
"Considering that the rural population, which is in majority, is poor and directly depends on natural resources for its livelihood,","Poganizira kuti anthu okhala madera akumidzi omwe ndi ochuluka, ndi osauka ndipo amadalira zachilengedwe pa moyo wawo wa tsiku ndi tsiku,"
"the bulk of this population lacks the capacity to proactively finance climate change adaptation, mitigation and climate proofing activities.","ambiri mwa anthuwa alibe kuthekera kopeza ndalama zogwirira nchito yokhuza kuchepetsa kusintha kwa nyengo, ndi zochitika zothuza  komanso kukuta nyengo."
"There is therefore, need for more predictable and reliable financing mechanisms from local and international sources.","Choncho, ndi kofunika kuti pakhale njira zokhazikika zopezera ndalama kuchokera m’dziko muno komanso ku maiko akunja."
Policy statement,Chiganizo cha Ndondomeko
"The Policy will prioritize enhanced financing for implementation and coordination of climate change management activities through increased national budgetary allocation,","Ndondomekoyi idzayika patsogolo Mfundo ya kapezedwe ka ndalama zokwaniritsira ndi kulumikizitsira zochitika zonse zokhuza kayendetsedwe ka ntchito za kusintha kwa nyengo kudzera mu kuwonjezera ndalama mu pulani ya bajeti ya dziko lino, "
"establishment of a Climate Change Management Fund, ",kukhazikitsa bungwe lotolera ndi kuyang’anira ndalama zoyendetsera ntchito za kusintha kwa nyengo (Climate Change Management Fund)
improved access to international climate financing (both multilateral and bilateral) and private sector investments.,"kupeza njira zabwino zofikira thandizo la ndalama zogwirira ntchito zokhudza kusintha kwa nyengo kuchokera ku maiko akunja (amene ali pa ubale wa maiko angapo kapena awiri), komanso kuchita mabizinesi."
3.6 Cross cutting issues,3.6 Zinthu Zimene Ziliponseponse Zingawonjezere Mavuto
This priority area focuses on cross cutting issues that may exacerbate vulnerability to climate change and variability,Mfundo yofunikayi ikuwunika zinthu zimene zingawonjezere chiopsezo pa vuto la kusintha kapena 
or may undermine effectiveness of adaptation programmes.,kusakhazikika kwa nyengo kapena kusokoneza mapulogalamu a mmene tingachepetsere kusintha kwa nyengo.
"These include gender consideration, population dynamics and HIV and AIDS.","Izi ndi monga nkhani za jenda, chiwerengero cha anthu komanso kachilombo koyambitsa matenda a edzi (HIV) ndi matenda a edzi."
Gender considerations are important in planning and implementation of climate change management programmes ,Kuganizira za jenda n’kofunika kwambiri pa nthawi yolemba ma pulani komanso kukwaniritsa mfundo za kayendetsedwe ka mapulogalamu okhudza kusintha kwa nyengo chifukwa magulu osiyanasiyana a anthu amakhudzidwa mosiyanasiyana 
because different socioeconomic groups are impacted upon differently because of different gender roles and social constructs.,chifukwa cha kusiyana kwa ntchito zimene akazi ndi amuna amagwira komanso zikhulupiriro zimene akula nazo.
"Vulnerable groups such as women, children, the elderly and the physically","Magulu amene ali pa chiopsezo monga amayi, ana, okalamba ndi olumala "
and mentally challenged are particularly affected by adverse impacts of climate change.,kapena odwala matenda a kaganizidwe amakhala okhudzidwa kwambiri ndi ululu umene umabwera chifukwa cha kusintha kwa nyengo. 
Involving these vulnerable groups in the design and implementation of climate change management programmes is essential for effective managementof the impacts.,Kulola magulu amenewa kuti atenge nawo mbali pa nthawi yokonza ndi kukwaniritsa mfundo zoyendetsera zochitika pa zinthu zokhudza kusintha kwa nyengo ndikofunika kwambiri pa ntchito yochepetsa mavuto amene  angakhalepo.
Population growth is a driver of climate change.,Kukula kwa chiwerengero cha anthu kumagwirizana kwambiri ndi kusintha kwa nyengo. 
High population growth exerts pressure on the environment and natural resources leading to environmental degradation which exacerbates prevalence of adverse effects of climate change.,Kukwera kwambiri kwa chiwerengero cha anthu kumachititsa kuti malo ndi zachilengedwe zikhale zosakwanira zimene zimachititsa kuti chilengedwe chiwonongeke ndipo zotsatira zake ndi zoti kusintha kwa nyengo kumabweretsa mavuto adzawoneni.
"Therefore, incorporation of demographic dynamics such as population density, urbanization, reproductive health, ","Choncho, kuganizira za nkhani ya chiwerengero cha anthu monga kuchuluka kwa anthu amene akukhala dera limodzi, kusintha kwa midzi kusanduka matawuni, umoyo wabwino wa ziwalo zokhudza kubereka, "
and family planning in development plans will help Malawi deal with effects of climate change,komanso kulera pa mapulani achitukuko kudzathandiza dziko la Malawi kuthana ndi mavuto amene amabwera chifukwa cha kusintha kwa nyengo.
Policy Statements,Ziganizo za ndondomeko
The policy will:,Ndondomeko idzachita izi:
"mainstream gender and issues affecting the disadvantaged groups into all climate change strategies, plans and programmes.",Kulowetsa mfundo ya jenda ndi mfundo zina zokhudza magulu a anthu amene alibe mphamvu m’mapulani ndi zochitika zonse zokhudza kusintha kwa nyengo.
integrate population issues into climate change management ,Kulowetsa mfundo ya chiwerengero cha anthu mu kayendetsedwe ka ntchito za kusintha kwa nyengo 
"in the development agenda through an integrated approach which would reduce poverty, protect natural resources and reduce inequality","komanso mu ndondomeko ya chitukuko kudzera mu njira ya kasakaniza zimene zingachepetse umphawi, kuteteza za chilengedwe komanso kuchepetsa mkhalidwe wosiya ena m’mbuyo."
"incorporate HIV and AIDS as well as gender considerations in all climate change interventions including adaptation, mitigation, capacity building and technology development and transfer.","Kulowetsa mfundo ya HIV ndi matenda a edzi komanso mfundo ya jenda m’zochitika zonse zokhudza kusintha kwa nyengo monga kuchepetsa, kuthuza, kupereka ukadaulo komanso kukweza umisiri ndi kuphunzitsa ena."
4.0 Implementation Arrangements,4.0 Dongosolo kayendetsedwe ka ndondomeko 
This section outlines the institutional arrangements and implementation plan for the climate change policy.,Gawo limeneli litambasula dongosolo la ma bungwe ndi dongosolo kayendetse ka zinthu zili mu ndondomeko ya kusintha kwa nyengo.
4.1 Institutional arrangements,Dongosolo la ma bungwe
There are many stakeholders operating across many sectors that need to be engaged in the implementation of this Policy.,Pali ma gulu okhudzidwa angapo amene akugugwira mu ma gawo osiyanasiyana amene akuyenera kugwira nawo ntchito mu kayendetsedwe ka ndondomekoyi
Coordination and leadership across sectors and between stakeholder groups is critical for success.,Kulumikizana ndi utsogoleri pakati pa ma gawo amenewa ndiofunika kwambiri kuti ndondomekoyi ikhale yopambana. 
Leadership and coordination has to be seen at all levels of governance.,Utsogoleri and kulumikizana kukufunika mu ma gawo onse a utsogoleri.
"In order to ensure effective climate change management, leadership and coordination must embrace district ",Utsogoleri ndi kulumikizana kukuyenera kuwoneke mu ma gawo a  maboma 
and local levels of government as well as seek community based engagement and action,komanso maboma ang’onoang’ono ndi anthu mmadera akuyenera kutenga mbali kuti kusintha kwa nyengo kuyendetsedwe bwino 
"Key stakeholders include: government, non-governmental organizations and civil society, the private sector, academia,","Ma gulu okhudzidwa ndi awa: boma, ma bungwe amene asali aboma ndi, gawo loyendetsedwa ndi anthu osakhala a boma owona za ufulu wa anthu, ma gawo osakhala aboma, azamaphunziro ndi kafukufuku), "
"development partners, local communities, faith based organizations and identified vulnerable groups.","abale ogwira nawo ntchito za chitukuko, anthu mma dera, ma bungwe a zachipembezo ndi ma gulu a anthu amene ali pa chiopsyezo."
"Considering that climate change significantly impacts key sectors of the economy and is multi-sectoral as well as crosscutting in nature,",Poganizira kuti kusintha kwa nyengo kumakhudza ma gawo ofunika a chuma komanso ma gawo osiyanasiyana komanso zimakhudza chiopseyezo cha zinthu zina
"mainstreaming climate change into national and sectoral plans, policies and programmes is critical.",kukhazikitsa za kusintha kwa nyengo mu ndondomeko za dziko ndi ma gawo osiyanasiyana ndi kofunika kwambiri
Therefore a number of institutions will be involved in sector specific implementation of activities.,"Ndi chifukwa cha chimenechi, ma bungwe angapo atenga nawo mbali zochitika zina zokhudza ma gawo awo pa nkhani ya kayendetsedwe."
"During implementation stage, the Planning Section in the ministry responsible for climate change will among others, ","Nthawi imene zinthu zikugwirirtsidwa, gawo lopanga dongosolo la unduna owona za kusintha kwa nyengo mwa zina"
spearhead tracking of resources allocated to key stakeholders that address specific components of the Policy relevant to their mandate.,lizapititsa patsogolo kulondoloza za chuma ndi zina zimene zapita ku magulu okhudzidwa mbali zenizeni za ndondomeko zimene zikuwakhudza.  
The relevant Cabinet Committee will enable all arms of government to coordinate their actions.,Komiti ya unduna yoyenera izayenereza nthambi zonse za boma kuti zilumikize zochitika zawo.
The Parliamentary Committee will serve to assist in lobbying for passing of environment related policies and legislations in the national assembly.,Komiti ya nyumba ya malamulo izagwira ntchito yotsogolera zokambilana za ndondomeko ndi malamulo zokhudzana ndi chilengedwe mu nyumba malamulo.
The existing National Technical Committee on Climate Change (NTCCC) may be strengthened by including any other relevant sectors that are not currently represented in its membership,Komiti ya fuko ya kusintha kwa nyengo (NTCCC) imene imene ilipo ithakulimbitsidwa poyika ma gawo ena amene pakali panopa mulibe
"Furthermore, adequate representation of private sector is needed in the committee as green economy measures form an integral part of climate change management and require participation of private sector in this regard.","Kuphatikizila apo, ma gawo osakhala aboma akuyenera kuyimiliridwa mu komiti chifukwa chuma yoyendera kusamalira kwa chilengedwe ndi mbali yaikulu yoyang'anira kusintha kwa nyengo ndiye magawowa akufunika kutengapo mbali "
The Natural Resources Sector Working Group (NRSWG) will provide oversight over the institutional coordination framework.,Gulu la fuko lowona za chuma cha chilengedwe (NRSWG) lidzapereka uphungu pa dongosolo la mmene ma bungwe azalumikizilane.
"The NRSWG comprises the National Steering Committee on Climate Change, the National Steering Committee on Forestry Management and the National Steering Committee on Meteorological Services.","Mu gulu la fuko lowona za chuma cha chilengedwe muli komiti ya fuko loyendetsa za kusintha kwa nyengo, komiti ya fuko yoyendetsa za kasamaliridwe ka nkhalango ndi komiti ya fuko yoyendetsa ntchito za nyengo. "
 4.2 Roles and Responsibilities of stakeholders,4.2 Ma gawo ndi ma udindo a ma gulu okhudzidwa
4.2.1 General Public,4.2.1 Anthu
The majority of Malawi’s population live in rural areas and are dependent on natural resources for their livelihoods,Chiwerengero cha anthu ambiri ku Malawi chimakhala mmidzi ndipo amadalira za chilengedwe pa moyo wawo wa tsiku ndi tsiku 
and are therefore affected by impacts of climate change and extreme weather related events such as floods and droughts,ndiye ndi okhudzidwa ndi zotsatira za kusintha kwa nyengo ndi zochitika zoopyoza za nyengo ngati chigumula and kuuma kwa nthaka.
"However, the population also contributes to climate change by inducing GHG emissions through land use and deforestation.",Komabe anthu akutenga nawo mbali mu ku kusintha kwa nyengo poyambitsa mipweya yowononga chilengedwe  mukagwiritsidwe kawo ka nthaka ndi mchitidwe odula mitengo. 
Communities must therefore be made aware of climate change impacts and human activities that cause climate change.,Anthu mma dera akuyenera kudziwitsidwa za zotsatira za kusintha kwa nyengo komanso zochitika za anthu zimene zimabweretsa kusintha kwa nyengo.
The public must be made aware of their responsibility for environmental protection and how they can address challenges of climate change by adopting environment friendly technologies.,Anthu akuyenera kudziwitsidwa za udindo wawo poteteza chilengedwe ndiponso mmene angathanilane ndi zovuta zimene zimabwera chifukwa cha kusintha kwa nyengo ndi kugwiritsa ntchito ma umisiri okomela chilengedwe. 
4.2.2 Private sector,4.2.2 Ma gawo osakhala a boma
The private sector is an important stakeholder when it comes to economic growth and job creation in the country,Ma gawo osakhala a boma ndi ma gulu okhudzidwa kwambiri pankhani yotukula chuma ndi kupereka ntchito kwa anthu mu dziko 
and therefore must play an active role in climate change management.,ndiye akuyenera kukhala ndi gawo lalikulu mukayang’anilidwe ka kusintha kwa nyengo. 
The private sector are critical in achieving a low carbon emission development for Malawi through investing in cleaner technologies and provision of green jobs., Gawo losakhala la boma ndilofunika kwambiri potsitsa kuchepetsa kutulutsa mipweya yowononga chilengdwe ndi cholinga chotukula Malawi kudzera mu umisiri osawonongo chilengedwe ndiponso kupereka ntchito zoteteza chilengwedwe.
Government can provide incentives for this and promote public-private partnerships to take this forward.,Boma lithakupereka zotengeketsa pa zinthu izi ndiponso kulimbikitsa ma ubale a ma gawo a boma ndi osakhala a boma kuti apititse patsogolo nkhaniyi.
"Furthermore, the private sector should take an active part in decision making on climate change initiatives.","Kuphatikizira pamenepa, ma gawo osakhala aboma akuyenera kutenga gawo lalikulu lopanga ziganizo ku ntchito zokhudza kusintha kwa nyengo. "
This can be achieved through representation in the NTCCC through the Malawi Confederation of Chambers of Commerce and Industry (MCCCI) as a platform for providing their input and participating in climate change management in the country,Zimenezi zingatheke kudzera iwo kukhala nawo mu komiti ya fuko yoyendetsa za kusintha kwa fuko imene ili mu Mgwirizano wa Malawi wa ma bungwe a zamalonda ndi kupanga katundu (MCCCI) ngati mwai wao opereka mfundo zawo ndikutenga mbali mu kayang’anilidwe ka zosintha za nyengo mu dziko. 
"In particular, the private sector can take an active role in participating in projects for carbon emissions trading including Clean Development Mechanism (CDM), low carbon development, offsetting their emissions and investing in renewable energy","Mwatsatanetsatane, ma gawo osakhala a boma atha kutenga mbali yaikulu pokhala nawo mu ma projekti ya malonda a mipweya ya kaboni kuphatikizilapo Njira ya zoteteza chilengedwe (Clean Mechanism Development (CDM)), kutsitsa kupanga mipweya ya kaboni kuyika chuma mu mphamvu za magetsi zimene zimabwezeretsedwanso."
4.2.3 The media,4.2.3 Ofalitsa nkhani
The media has an important role of creating awareness on climate change issues amongst stakeholders at all levels including at community level.,Ofalitsa nkhani ali ndi udindo waukulu odziwitsa magulu okhudzidwa ndi anthu mu dera za kusintha kwa nyengo. 
The dissemination of information should be evidence based and in this regard there is need to promote journalism that focuses on environment and natural resource,Kafalitsedwe kake ka nkhani kakuyenera kukhala kogwiritsa ntchito umboni weniweni ndiye chifukwa chimenechi ndipofunika kupititsa patsogolo mchitidwe ofalitsa nkhani okhudzana ndi chilengedwe ndi zinthu za chilengedwe. 
"Messages disseminated by media in a timely manner will empower communities to take necessary action on climate change adaptation, mitigation and disaster risk reduction.","Ma uthenga odzera kwa ofalitsa nkhani ofalitsidwa mu nthawi yake azipereka mphamvu kwa anthu kuti atenge mbali yoyenera pa kuchepetsa, kuthuza kusintha kwa nyengo ndi kuchepetsa chiopsyezo cha ngozi zobwera mwadzidzidzi. "
"42.4  Non-Governmental Organizations, Faith and Community Based Organizations","4.2.4 Ma bungwe omwe si a boma, ma bungwe a zipembezo ndi a mmadera"
"NGOs, FBOs and CBOs have an important role to play since they work closely with communities and can influence community response to climate change adaptation and mitigation.","Ma bungwe omwe si a boma, ma bungwe a azipembezo ndi a mmadera ali ndi mbali yaikulu chifukwa amagwira kwambiri ntchito ndi anthu mma dera ndipo atha kulimbikitsa anthu kupanga kanthu ku nkhani za kuchepetsa ndi kuthuza kwa kusintha kwa nyengo.  "
It is important for this group of stakeholders to assist the communities to integrate climate change and disaster risk reduction into their development activities in order to build community resilience,Ndikofunika kuti gulu la ma bungwe okhudziwa limeneli liwotse nkhani za kusintha kwa nyengo ndi kuchepetsa chiopsyezo cha ngozi zogwa mwadzidzidzi mu ntchito zawo za chitukuko kuti madera awo akhale ochilimika.  
4.2.5 Training and Research Institutions,4.2.5 Malo phunzitsira ndi opanga kafukufuku
The need for more research and training in climate change issues in Malawi cannot be overemphasized.,Zokuti pakufunika kafukufuku ndi maphunziro mu nkhani za kusintha kwa nyengo ndizachidziwikile. 
"In this regard, training and research institutions have a pivotal role to play.","Chifukwa cha chimenechi malo a maphunziro ndi kafukufuku ali ndi mbali yaikulu yochita mu nkhani zimenezi,"
Training in climate change issues must be enhanced in order to build the capacity of individuals and organizations to mainstream climate change issues into their activities and effectively adapt and mitigate to the impacts of climate change.,Maphunziro a zokhudza kusintha kwa nyengo akuyenera alimbikitsidwe kuti anthu ndi ma bungwe akhale ndi kuthekera kolumikiza ntchito za kusintha kwa nyengo mu zochitika zawo motero kuchepetsa ndi kuthuza zotsatila za kusintha kwa nyengo.
"Furthermore, home grown research must be promoted.","Kuonjezera apo, kafukufuku ochitikira mu dziko momuno komanso opangidwa ndi a Malawi akuyenera kulimbikitsidwa. "
Scientific knowledge from research must be used for decision making and practical solutions that are user friendly and sensitive to local needs must be recommended.,Pakufunika kugwiritsa ntchito zotsatira zochokera ku kafukufuku wa sayansi popanga ziganizo ndiponso kupezera njira za kuthekera zimene zili zoti anthu atha kugwiritsa ntchito mosavutikira ndiponso zomvetsera zofuna anthu mu dera lawo
4.2.6 Development partners,4.2.6 Abale ogwira nawo ntchito za chitukuko
Development partners provide resources for Government and civil society organizations in Malawi to carry out developmental activities.,Abale ogwira nawo ntchito za chitukuko amapereka zofunika ku boma ndi ma bungwe owona za ufulu wa anthu mu Malawi kuti agwire ntchito za chitukuko. 
Their technical and financial interventions must be harmonized in line with the NCCMP so that all stakeholders work towards a common goal.,Upangiri wawo ndi chuma chimene amapereka chikuyenera kugwiriza ndi ndondomeko ya kayang'anilidwe ka kusintha kwa nyengo (NCCMP) kuti onse okhudziwa azigwira ntchito ndi cholinga chimodzi.
"It is also important that Development partners, not directly working in the area of climate change, should ensure that climate change is integrated in all their programmes and projects",Ndi zofunikanso kuti abale ogwira nawo ntchito za chitukuko amene sakugwira nawo ntchito za kusintha za nyengo awonetsetse kuti nkhani za kusintha kwa nyengo zikulowa nawo mu ndondomeko ndi ma pulojekti awo. 
4.2.7 Decentralized structures,4.2.6 Ma gawo a ma boma ang'onoang'ono
"Decentralization in Malawi has been largely successful as structures have been put in place, ",Kagawidwe ka ntchito mma boma ang'onoang'ono kayenda bwino kwambiri chifukwa ma gawo ndi zoyenereza zayikidwa.  
providing an avenue for communities’ views to feed into decision making at both district and national levels.,Zimenezi zapereka mwayi kuti anthu azitha kupereka maganizo awo popanga ziganizo zokhudza ma boma awo ndi zokhudza dziko. 
"The organizations and committees at various levels (VDC, ADC, DEC etc) must ensure that climate change is integrated into their programmes, projects and plans.","Ma bungwe ndi ma komiti mu ma gawo onse (VDC, ADC, DEC mdi zina zotero) awonetsetse kuti kusintha kwa nyengo kukuyikidwa nawo mu ndondomeko, ma pulojekti ndi njira zawo zonse."
5.0 Implentation Plan,5.0 Njira yoyendetsera 
"5.1 Development of an Implementation, Monitoring and Evaluation Strategy","5.1 Kupanga njira yoyendetsera, kuyang'anira ndi kuwunika ndondomeko"
